Data da Venda,Nome do Produto,Quantidade Vendida,Valor Unitário (R$),Valor Total (R$),Franquia,Nome do Vendedor,Localização da Franquia,Canal de Venda
2024-05-04,Chocolate Meio Amargo,3,33.28,99.84,ChocoFranq 9,Sr. Breno Silva,PE,Online
2023-05-06,Chocolate Diet,7,34.6,242.2,ChocoFranq 6,Henrique Araújo,PR,Franquia
2024-01-08,Chocolate Com Morango,12,30.04,360.48,ChocoFranq 8,Ana Júlia Santos,SP,Franquia
2023-06-16,Chocolate Trufado,5,23.08,115.4,ChocoFranq 7,Valentina Teixeira,CE,Online
2024-03-12,Chocolate Recheado,14,24.88,348.32,ChocoFranq 1,Marcela Dias,RS,Online
2023-05-02,Chocolate Com Caramelo,10,27.71,277.1,ChocoFranq 1,Isaac Costa,SC,Online
2023-08-09,Chocolate Com Menta,8,17.85,142.8,ChocoFranq 1,Fernando Silva,BA,Franquia
2023-12-27,Chocolate Diet,2,28.87,57.74,ChocoFranq 3,Calebe Freitas,DF,Franquia
2024-03-04,Chocolate 70% Cacau,16,43.26,692.16,ChocoFranq 2,Dr. Ryan Caldeira,DF,Franquia
2023-05-12,Chocolate Ao Leite,13,42.74,555.62,ChocoFranq 3,Ana Júlia Santos,BA,Online
2023-11-02,Chocolate Recheado,11,48.66,535.26,ChocoFranq 7,Alexandre Freitas,MG,Online
2023-11-14,Chocolate Meio Amargo,7,12.32,86.24,ChocoFranq 5,Rafael Moura,PR,Franquia
2023-10-31,Chocolate Com Amêndoas,19,19.55,371.45,ChocoFranq 8,Lorenzo Silva,BA,Online
2023-05-15,Chocolate Com Caramelo,2,43.05,86.1,ChocoFranq 3,Maria Fernanda Costa,MG,Franquia
2023-03-30,Chocolate Com Caramelo,13,9.49,123.37,ChocoFranq 1,Dr. Enzo Gabriel Fogaça,DF,Franquia
2024-02-04,Chocolate Meio Amargo,12,42.33,507.96,ChocoFranq 1,Isadora Moura,PR,Franquia
2023-10-02,Chocolate Com Avelã,17,45.24,769.08,ChocoFranq 2,Nicolas Rezende,DF,Online
2023-11-18,Chocolate Ao Leite,12,15.3,183.6,ChocoFranq 1,Ana Júlia Santos,SC,Franquia
2023-01-14,Chocolate 70% Cacau,18,29.64,533.52,ChocoFranq 2,Rafaela Peixoto,CE,Online
2024-04-26,Chocolate Branco,20,25.19,503.8,ChocoFranq 4,Catarina Farias,PR,Online
2023-10-22,Chocolate Com Amêndoas,19,5.09,96.71,ChocoFranq 10,Henrique Araújo,PE,Online
2023-12-27,Chocolate Vegano,11,20.61,226.71,ChocoFranq 5,Henrique Araújo,BA,Online
2023-12-09,Chocolate Branco,8,26.66,213.28,ChocoFranq 2,Kamilly Sales,CE,Online
2023-06-07,Chocolate Zero Açúcar,2,6.13,12.26,ChocoFranq 3,Fernando Silva,DF,Franquia
2023-03-07,Chocolate Branco,14,44.19,618.66,ChocoFranq 5,Leandro Moreira,SC,Online
2023-07-27,Chocolate Diet,3,36.52,109.56,ChocoFranq 6,Maria Fernanda Costa,SC,Online
2023-01-13,Chocolate Com Amêndoas,1,20.68,20.68,ChocoFranq 6,Guilherme Porto,BA,Online
2024-02-04,Chocolate Com Castanha,2,6.28,12.56,ChocoFranq 9,Henrique Araújo,DF,Online
2024-01-10,Chocolate Com Avelã,19,12.05,228.95,ChocoFranq 2,Alexandre Freitas,SC,Franquia
2023-12-04,Chocolate Com Morango,15,36.73,550.95,ChocoFranq 3,Olivia da Mota,PE,Online
2024-02-12,Chocolate Recheado,12,44.9,538.8,ChocoFranq 3,Rafaela Peixoto,PE,Franquia
2024-01-13,Chocolate Vegano,1,41.74,41.74,ChocoFranq 4,Dr. Enzo Gabriel Fogaça,RS,Online
2024-03-09,Chocolate Meio Amargo,17,12.35,209.95,ChocoFranq 9,Alexandre Freitas,SC,Online
2024-03-31,Chocolate Com Caramelo,11,40.41,444.51,ChocoFranq 7,Catarina Farias,SC,Franquia
2023-07-05,Chocolate Vegano,8,25.44,203.52,ChocoFranq 2,Lorenzo Silva,RJ,Online
2023-05-15,Chocolate Ao Leite,16,15.64,250.24,ChocoFranq 9,João Gabriel Cavalcanti,RJ,Online
2023-12-12,Chocolate Diet,11,45.18,496.98,ChocoFranq 8,Davi Lucas Costa,SP,Online
2024-04-28,Chocolate Com Caramelo,1,14.09,14.09,ChocoFranq 1,Olivia da Mota,PE,Online
2023-06-07,Chocolate Com Avelã,6,34.02,204.12,ChocoFranq 7,Davi Lucas Costa,RS,Franquia
2023-01-18,Chocolate Com Morango,15,14.98,224.7,ChocoFranq 5,Dr. Ryan Caldeira,MG,Franquia
2023-01-28,Chocolate Vegano,14,31.6,442.4,ChocoFranq 8,Fernando Silva,RJ,Franquia
2023-07-07,Chocolate Ao Leite,20,24.94,498.8,ChocoFranq 6,Isadora Moura,DF,Online
2023-09-25,Chocolate Com Avelã,13,31.06,403.78,ChocoFranq 7,Juliana Farias,PE,Online
2023-05-22,Chocolate Vegano,15,41.49,622.35,ChocoFranq 6,Leandro Oliveira,CE,Franquia
2024-04-24,Chocolate Zero Açúcar,6,25.25,151.5,ChocoFranq 3,Davi Lucca da Cunha,MG,Online
2023-12-20,Chocolate Com Menta,14,29.13,407.82,ChocoFranq 7,Henrique Araújo,CE,Franquia
2023-12-04,Chocolate Vegano,14,8.58,120.12,ChocoFranq 5,Kamilly Sales,DF,Franquia
2024-01-14,Chocolate Zero Açúcar,8,17.14,137.12,ChocoFranq 6,Guilherme Porto,PR,Franquia
2023-09-02,Chocolate Com Castanha,11,32.44,356.84,ChocoFranq 10,Nicole Rodrigues,SP,Franquia
2024-04-22,Chocolate Branco,4,12.62,50.48,ChocoFranq 9,Henrique Araújo,DF,Franquia
2023-07-30,Chocolate Diet,8,26.22,209.76,ChocoFranq 2,Rafaela Peixoto,CE,Online
2024-04-22,Chocolate Com Caramelo,15,39.51,592.65,ChocoFranq 6,Catarina Farias,BA,Franquia
2023-10-06,Chocolate 70% Cacau,7,33.23,232.61,ChocoFranq 4,Guilherme Porto,RS,Franquia
2024-02-14,Chocolate Com Castanha,8,32.7,261.6,ChocoFranq 4,Ana Júlia Santos,SC,Franquia
2023-06-05,Chocolate Com Morango,17,38.46,653.82,ChocoFranq 5,Isaac Costa,PE,Franquia
2023-08-30,Chocolate Trufado,1,8.78,8.78,ChocoFranq 8,Nicolas Rezende,MG,Online
2023-04-19,Chocolate Vegano,18,14.17,255.06,ChocoFranq 8,Juliana Pinto,RS,Franquia
2023-03-27,Chocolate Branco,14,29.0,406.0,ChocoFranq 3,Dr. Enzo Gabriel Fogaça,RJ,Online
2024-04-30,Chocolate Com Menta,15,40.45,606.75,ChocoFranq 1,Guilherme Porto,RJ,Franquia
2023-06-06,Chocolate Diet,7,49.41,345.87,ChocoFranq 8,Marcela Dias,BA,Franquia
2023-03-05,Chocolate Diet,8,28.98,231.84,ChocoFranq 8,Nicolas Rezende,DF,Online
2024-02-14,Chocolate Vegano,12,8.74,104.88,ChocoFranq 10,Davi Lucas Costa,DF,Online
2024-04-03,Chocolate Com Morango,13,32.39,421.07,ChocoFranq 2,Lorenzo Silva,RJ,Franquia
2024-02-02,Chocolate Diet,18,25.48,458.64,ChocoFranq 3,Calebe Freitas,SP,Online
2023-05-19,Chocolate Zero Açúcar,20,12.09,241.8,ChocoFranq 1,Dr. Ryan Caldeira,DF,Online
2023-07-02,Chocolate Com Avelã,4,22.88,91.52,ChocoFranq 10,Guilherme Porto,PR,Franquia
2023-11-24,Chocolate Com Morango,16,14.5,232.0,ChocoFranq 7,Leandro Oliveira,SC,Online
2024-05-12,Chocolate 70% Cacau,8,18.99,151.92,ChocoFranq 9,Alexandre Freitas,BA,Online
2024-01-08,Chocolate Meio Amargo,18,7.68,138.24,ChocoFranq 2,Lorenzo Silva,DF,Franquia
2023-11-08,Chocolate Branco,15,11.16,167.4,ChocoFranq 3,Fernando Silva,PE,Online
2023-10-10,Chocolate Com Menta,5,30.38,151.9,ChocoFranq 2,Juliana Farias,CE,Franquia
2024-01-16,Chocolate Com Caramelo,12,45.97,551.64,ChocoFranq 10,Rafaela Peixoto,MG,Online
2023-12-06,Chocolate Com Avelã,4,40.07,160.28,ChocoFranq 3,Dr. Enzo Gabriel Fogaça,PR,Online
2024-04-24,Chocolate Ao Leite,5,8.24,41.2,ChocoFranq 10,Alexandre Freitas,SC,Online
2023-06-02,Chocolate Diet,16,40.62,649.92,ChocoFranq 7,Kamilly Sales,PR,Franquia
2023-06-16,Chocolate Com Menta,15,41.76,626.4,ChocoFranq 10,Maria Fernanda Costa,DF,Franquia
2023-09-23,Chocolate Ao Leite,2,14.2,28.4,ChocoFranq 8,Ana Júlia Santos,RS,Franquia
2023-07-26,Chocolate Com Castanha,14,5.47,76.58,ChocoFranq 8,Davi Lucca da Cunha,DF,Online
2024-03-27,Chocolate Com Caramelo,8,12.96,103.68,ChocoFranq 4,Marcela Dias,PE,Online
2023-07-06,Chocolate Com Morango,17,9.33,158.61,ChocoFranq 6,Leandro Oliveira,PE,Franquia
2023-11-09,Chocolate Com Caramelo,19,10.51,199.69,ChocoFranq 4,Valentina Teixeira,PE,Online
2023-09-17,Chocolate Com Avelã,16,20.87,333.92,ChocoFranq 3,Ana Júlia Santos,PE,Online
2023-08-17,Chocolate Meio Amargo,7,29.16,204.12,ChocoFranq 4,Guilherme Porto,PR,Online
2024-04-30,Chocolate Meio Amargo,9,43.53,391.77,ChocoFranq 6,Alexandre Freitas,SP,Franquia
2024-04-29,Chocolate Recheado,1,28.2,28.2,ChocoFranq 4,Nicolas Rezende,MG,Online
2023-07-10,Chocolate Vegano,12,33.83,405.96,ChocoFranq 5,Leandro Oliveira,CE,Franquia
2023-11-19,Chocolate Meio Amargo,12,13.99,167.88,ChocoFranq 4,Leandro Moreira,RJ,Franquia
2023-06-15,Chocolate Recheado,11,15.67,172.37,ChocoFranq 6,Davi Lucas Costa,BA,Online
2023-06-26,Chocolate Recheado,10,18.09,180.9,ChocoFranq 9,Dr. Ryan Caldeira,BA,Online
2023-09-15,Chocolate Meio Amargo,18,37.03,666.54,ChocoFranq 10,Nicolas Rezende,DF,Franquia
2023-04-23,Chocolate Vegano,19,23.37,444.03,ChocoFranq 1,Alexandre Freitas,PE,Online
2023-06-08,Chocolate Recheado,8,41.3,330.4,ChocoFranq 1,Davi Lucca da Cunha,CE,Online
2024-03-09,Chocolate Trufado,5,21.22,106.1,ChocoFranq 5,Isaac Costa,SC,Franquia
2023-08-07,Chocolate Diet,3,15.91,47.73,ChocoFranq 1,Juliana Pinto,SP,Franquia
2023-07-12,Chocolate Com Amêndoas,14,34.81,487.34,ChocoFranq 7,Catarina Farias,DF,Online
2023-08-14,Chocolate Com Morango,17,17.77,302.09,ChocoFranq 10,João Gabriel Cavalcanti,RJ,Franquia
2023-07-25,Chocolate Com Morango,18,44.25,796.5,ChocoFranq 4,Olivia da Mota,PR,Online
2023-04-06,Chocolate Com Castanha,13,16.48,214.24,ChocoFranq 2,Leandro Moreira,RS,Franquia
2023-07-19,Chocolate Com Avelã,5,7.22,36.1,ChocoFranq 7,Juliana Farias,RJ,Online
2023-12-15,Chocolate Branco,6,16.38,98.28,ChocoFranq 9,Rafaela Peixoto,PE,Online
2024-01-13,Chocolate Vegano,10,38.76,387.6,ChocoFranq 5,Nicolas Rezende,DF,Online
2023-09-22,Chocolate Com Morango,18,6.49,116.82,ChocoFranq 3,Nicolas Rezende,PR,Online
2024-03-28,Chocolate Com Avelã,1,9.46,9.46,ChocoFranq 9,Valentina Teixeira,SC,Franquia
2023-11-26,Chocolate Com Amêndoas,10,8.28,82.8,ChocoFranq 6,João Gabriel Cavalcanti,PE,Online
2024-04-22,Chocolate Branco,4,25.89,103.56,ChocoFranq 4,Valentina Teixeira,RJ,Franquia
2023-11-08,Chocolate Com Morango,11,7.63,83.93,ChocoFranq 3,Juliana Farias,SP,Online
2023-03-24,Chocolate Com Avelã,18,47.44,853.92,ChocoFranq 1,Valentina Teixeira,PE,Franquia
2023-11-23,Chocolate Recheado,11,8.04,88.44,ChocoFranq 8,Sr. Breno Silva,SP,Online
2023-05-12,Chocolate 70% Cacau,8,43.82,350.56,ChocoFranq 1,Isaac Costa,SP,Franquia
2023-03-25,Chocolate Com Castanha,8,36.54,292.32,ChocoFranq 9,Lorenzo Silva,PR,Online
2024-04-22,Chocolate Diet,10,30.12,301.2,ChocoFranq 4,Nicolas Rezende,RJ,Online
2023-12-15,Chocolate Com Avelã,13,37.52,487.76,ChocoFranq 4,Juliana Farias,MG,Franquia
2024-01-16,Chocolate Com Morango,14,49.53,693.42,ChocoFranq 1,Catarina Farias,DF,Franquia
2024-01-10,Chocolate 70% Cacau,17,10.44,177.48,ChocoFranq 4,Sr. Breno Silva,SP,Online
2023-07-01,Chocolate Com Menta,8,43.99,351.92,ChocoFranq 10,Rafaela Peixoto,SC,Franquia
2024-01-10,Chocolate Diet,19,31.18,592.42,ChocoFranq 8,Isadora Moura,SP,Online
2023-03-23,Chocolate Diet,14,5.94,83.16,ChocoFranq 2,Alexandre Freitas,PE,Online
2023-11-20,Chocolate Recheado,4,16.41,65.64,ChocoFranq 5,Leandro Oliveira,DF,Franquia
2024-04-16,Chocolate Com Morango,4,37.13,148.52,ChocoFranq 9,Lorenzo Silva,PR,Online
2024-03-01,Chocolate Com Morango,2,43.42,86.84,ChocoFranq 10,Alexandre Freitas,CE,Online
2023-03-04,Chocolate 70% Cacau,10,11.64,116.4,ChocoFranq 4,Calebe Freitas,RS,Online
2024-03-02,Chocolate Com Menta,9,9.43,84.87,ChocoFranq 5,Leandro Oliveira,CE,Franquia
2023-03-09,Chocolate 70% Cacau,5,19.5,97.5,ChocoFranq 8,Catarina Farias,RS,Online
2023-11-05,Chocolate Com Avelã,6,5.82,34.92,ChocoFranq 2,Kamilly Sales,PR,Franquia
2023-04-24,Chocolate Com Amêndoas,1,45.37,45.37,ChocoFranq 6,Leandro Oliveira,PE,Franquia
2023-11-20,Chocolate Ao Leite,9,13.02,117.18,ChocoFranq 4,Calebe Freitas,MG,Franquia
2023-12-16,Chocolate Com Menta,9,41.57,374.13,ChocoFranq 4,Isaac Costa,RS,Franquia
2023-06-05,Chocolate Com Avelã,18,5.04,90.72,ChocoFranq 7,Leandro Oliveira,CE,Franquia
2023-04-09,Chocolate Com Caramelo,14,41.16,576.24,ChocoFranq 4,Olivia da Mota,PE,Online
2023-01-03,Chocolate Com Morango,4,24.44,97.76,ChocoFranq 10,Davi Lucca da Cunha,PE,Franquia
2024-04-09,Chocolate Com Avelã,4,38.35,153.4,ChocoFranq 2,Alexandre Freitas,SC,Online
2023-05-31,Chocolate Recheado,18,32.57,586.26,ChocoFranq 7,Olivia da Mota,BA,Franquia
2023-12-28,Chocolate Branco,17,18.3,311.1,ChocoFranq 2,Maria Fernanda Costa,DF,Online
2024-02-15,Chocolate Com Castanha,6,5.59,33.54,ChocoFranq 4,Maria Fernanda Costa,PR,Online
2024-05-10,Chocolate Recheado,18,35.68,642.24,ChocoFranq 1,Guilherme Porto,DF,Franquia
2023-09-08,Chocolate Com Morango,3,42.14,126.42,ChocoFranq 2,Alexandre Freitas,CE,Franquia
2023-04-10,Chocolate Com Castanha,13,26.98,350.74,ChocoFranq 1,Luiz Gustavo Carvalho,RS,Franquia
2023-04-10,Chocolate Ao Leite,16,14.52,232.32,ChocoFranq 2,Guilherme Porto,PE,Online
2023-03-09,Chocolate Com Menta,13,18.97,246.61,ChocoFranq 6,Sr. Breno Silva,CE,Franquia
2023-06-09,Chocolate Com Avelã,3,44.67,134.01,ChocoFranq 3,Alexandre Freitas,SC,Online
2024-01-01,Chocolate Meio Amargo,16,34.77,556.32,ChocoFranq 6,Nicole Rodrigues,PR,Franquia
2023-01-18,Chocolate Vegano,7,40.97,286.79,ChocoFranq 1,Rafaela Peixoto,CE,Franquia
2023-10-02,Chocolate 70% Cacau,10,43.4,434.0,ChocoFranq 9,Nicole Rodrigues,BA,Franquia
2023-02-15,Chocolate Com Amêndoas,1,38.24,38.24,ChocoFranq 3,Marcela Dias,PE,Franquia
2023-02-04,Chocolate Branco,16,6.24,99.84,ChocoFranq 1,Calebe Freitas,PE,Franquia
2024-02-19,Chocolate Com Castanha,4,42.29,169.16,ChocoFranq 9,Dr. Enzo Gabriel Fogaça,CE,Online
2024-04-03,Chocolate Meio Amargo,4,25.48,101.92,ChocoFranq 6,Alexandre Freitas,PR,Online
2023-07-11,Chocolate Zero Açúcar,3,10.44,31.32,ChocoFranq 6,Calebe Freitas,CE,Online
2023-09-26,Chocolate 70% Cacau,6,31.99,191.94,ChocoFranq 1,Isaac Costa,SC,Franquia
2023-08-23,Chocolate Branco,10,39.8,398.0,ChocoFranq 8,Ana Júlia Santos,PE,Franquia
2023-01-20,Chocolate Trufado,19,11.39,216.41,ChocoFranq 5,Maria Fernanda Costa,PR,Online
2023-04-04,Chocolate Com Caramelo,10,43.1,431.0,ChocoFranq 9,Alexandre Freitas,RS,Online
